,strategy
2018-06-19,0.9921115112919947
2018-06-20,0.992230341954122
2018-06-21,0.9973768968326173
2018-06-22,1.002743795779096
2018-06-25,1.0037628996352757
2018-06-26,1.0060490735185585
2018-06-27,1.0048630922833417
2018-06-28,1.009133312872536
2018-06-29,1.0008029184921083
2018-07-02,1.0031272490405476
2018-07-03,0.9969357021364631
2018-07-04,1.000330439428931
2018-07-05,1.0054738811157367
2018-07-06,1.0116754030278636
2018-07-09,1.0121765998380516
2018-07-10,1.0167539577634743
2018-07-11,1.0184070132781682
2018-07-12,1.0164072532539712
2018-07-13,1.0091650562463141
2018-07-16,1.0041410546387222
2018-07-17,1.0127890307763558
2018-07-18,1.0086125426983406
2018-07-19,1.0037484004693846
2018-07-20,1.0027020147272492
2018-07-23,1.0043624149715555
2018-07-24,0.9956891102687395
2018-07-25,0.997505615941538
2018-07-26,0.997866807373733
2018-07-27,0.995372536941878
2018-07-30,1.001518554440149
2018-07-31,1.0059031319865803
2018-08-01,1.0052914278432004
2018-08-02,1.007866461243825
2018-08-03,1.0152138872427439
2018-08-06,1.012048112982513
2018-08-07,1.0142555190266573
2018-08-08,1.016681797097911
2018-08-09,1.0206311793429026
2018-08-10,1.0200014929091963
2018-08-13,1.031786416961725
2018-08-14,1.0309915787335553
2018-08-15,1.0281984086013862
2018-08-16,1.02899723751964
2018-08-17,1.0286375543028399
2018-08-20,1.0311425171444237
2018-08-21,1.0282623476395085
2018-08-22,1.031805384874542
2018-08-23,1.0290505394096476
2018-08-24,1.0222341164235835
2018-08-27,1.0110602928454642
2018-08-28,1.0171611209221507
2018-08-29,1.017902198630449
2018-08-30,1.018088962079065
2018-08-31,1.0200875915917857
2018-09-03,1.0216144101548144
2018-09-04,1.020461174909945
2018-09-05,1.0232824506733689
2018-09-06,1.022792921229579
2018-09-07,1.0241189680983307
2018-09-10,1.0277125421862985
2018-09-11,1.0280702352747966
2018-09-12,1.0239053767091613
2018-09-13,1.0292735605132182
2018-09-14,1.026215244334202
2018-09-17,1.0288304060220261
2018-09-18,1.0312490327075092
2018-09-19,1.0346953339748195
2018-09-20,1.0381846257040794
2018-09-21,1.0361333676549631
2018-09-24,1.0376587871289455
2018-09-25,1.036295540717632
2018-09-26,1.0405555001602333
2018-09-27,1.0425756629168066
2018-09-28,1.0436273611825764
2018-10-01,1.0455059955485964
2018-10-02,1.044383461159562
2018-10-03,1.0433942464361452
2018-10-04,1.041526923296961
2018-10-05,1.0396855001419516
2018-10-08,1.0344721097682463
2018-10-09,1.0339029890056946
2018-10-10,1.0354247257114044
2018-10-11,1.0451225291214459
2018-10-12,1.0446168329719105
2018-10-15,1.0431032130430775
2018-10-16,1.03910052929713
2018-10-17,1.0428130184099973
2018-10-18,1.038531437115804
2018-10-19,1.0348924472557728
2018-10-22,1.039711798093428
2018-10-23,1.0412229381973421
2018-10-24,1.0447408958222835
2018-10-25,1.0424447102938519
2018-10-26,1.0460436523136514
2018-10-29,1.0482304181558741
2018-10-30,1.049161755642258
2018-10-31,1.048882221030429
2018-11-01,1.0471486437591644
2018-11-02,1.0480177706319547
2018-11-05,1.0469180501321929
2018-11-06,1.0466505195700642
2018-11-07,1.0513296690984477
2018-11-08,1.0528807474442048
2018-11-09,1.0491632576232353
2018-11-12,1.0488192144151374
2018-11-13,1.0483238762071307
2018-11-14,1.0514011956552396
2018-11-15,1.0484350463385548
2018-11-16,1.04857371592947
2018-11-19,1.0525883042660908
2018-11-20,1.052771110457199
2018-11-21,1.050551150711427
2018-11-22,1.0517521622372359
2018-11-23,1.0498446504847059
2018-11-26,1.059263620075811
2018-11-27,1.0632402525348723
2018-11-28,1.0633582642467014
2018-11-29,1.0691538571524235
2018-11-30,1.0658309709936187
2018-12-03,1.07418496865348
2018-12-04,1.0775520671163337
2018-12-05,1.0803708869155157
2018-12-06,1.0867777661815927
2018-12-07,1.0835270570216746
2018-12-10,1.0830718113422333
2018-12-11,1.0838827780712876
2018-12-12,1.0828926353163195
2018-12-13,1.0889262786688922
2018-12-14,1.084073625603759
2018-12-17,1.0857328075887156
2018-12-18,1.0831364805262553
2018-12-19,1.087615632662488
2018-12-20,1.0870928218205462
2018-12-21,1.0901531597297682
2018-12-24,1.0982511213335735
2018-12-25,1.1036641668341207
2018-12-26,1.097026596770256
2018-12-27,1.099090049005094
2018-12-28,1.1004600899454096
2018-12-31,1.1009054863549637
2019-01-01,1.0994968507510818
2019-01-02,1.104129541390519
2019-01-03,1.1114768751167055
2019-01-04,1.1135566669268342
2019-01-07,1.1162241023206092
2019-01-08,1.1164067430078854
2019-01-09,1.1163372356099877
2019-01-10,1.1186149762928366
2019-01-11,1.1201792999986881
2019-01-14,1.118076807798437
2019-01-15,1.1177153220377534
2019-01-16,1.116657294460749
2019-01-17,1.1211516110075435
2019-01-18,1.1250723464785861
2019-01-21,1.124137202611262
2019-01-22,1.1212608054017088
2019-01-23,1.1223841977273055
2019-01-24,1.1293183559677702
2019-01-25,1.1393241078183702
2019-01-28,1.1411420973128434
2019-01-29,1.1423890425317318
2019-01-30,1.1359158770047793
2019-01-31,1.1395467959532228
2019-02-01,1.1417525543073668
2019-02-04,1.1496292866822941
2019-02-05,1.1512832972529066
2019-02-06,1.1545843696849756
2019-02-07,1.1475570576093514
2019-02-08,1.1455885057494761
2019-02-11,1.1432211693352134
2019-02-12,1.1485810571587982
2019-02-13,1.1487650516302665
2019-02-14,1.1512844843151382
2019-02-15,1.1497173679815835
2019-02-18,1.1424235227851043
2019-02-19,1.1446644893833466
2019-02-20,1.1386770696339024
2019-02-21,1.136271960673123
2019-02-22,1.134319994633105
2019-02-25,1.1296543372105474
2019-02-26,1.1373435956782538
2019-02-27,1.135839375132629
2019-02-28,1.136700954933555
2019-03-01,1.1282096913034037
2019-03-04,1.1276673612756158
2019-03-05,1.1385960749964525
2019-03-06,1.143331254320334
2019-03-07,1.1512374162323542
2019-03-08,1.1545842924931828
2019-03-11,1.160195426495104
2019-03-12,1.155986904658354
2019-03-13,1.152477969655873
2019-03-14,1.1597094311992155
2019-03-15,1.1578801609618892
2019-03-18,1.1598463655371067
2019-03-19,1.1626181846224382
2019-03-20,1.1650103689118494
2019-03-21,1.1677572499299056
2019-03-22,1.1669362482327825
2019-03-25,1.168724236292328
2019-03-26,1.1697691971442343
2019-03-27,1.1758468687354355
2019-03-28,1.1708533302534376
2019-03-29,1.1734635054297828
2019-04-01,1.1865520194638874
2019-04-02,1.1825463416160493
2019-04-03,1.186333180501228
2019-04-04,1.1917960870295548
2019-04-05,1.1939933827522045
2019-04-08,1.1989805393574209
2019-04-09,1.1929980522548231
2019-04-10,1.1898418512606648
2019-04-11,1.1880159200090386
2019-04-12,1.1967162806620293
2019-04-15,1.1977713085526303
2019-04-16,1.1997798771490675
2019-04-17,1.2067471299052681
2019-04-18,1.2145577405141639
2019-04-19,1.2141748628384779
2019-04-22,1.2078892436590494
2019-04-23,1.2132873630402077
2019-04-24,1.2124030197858817
2019-04-25,1.2102411017135053
2019-04-26,1.2164299256948274
2019-04-29,1.2147240964101615
2019-04-30,1.2209988204222193
2019-05-01,1.2199961135173099
2019-05-02,1.2170163363096376
2019-05-03,1.2110979067442853
2019-05-06,1.2148870078104816
2019-05-07,1.2146901956544645
2019-05-08,1.2176085891546462
2019-05-09,1.2236475215164762
2019-05-10,1.2211549967315
2019-05-13,1.2252479707536554
2019-05-14,1.2294721450006654
2019-05-15,1.2284239210045214
2019-05-16,1.228272823802367
2019-05-17,1.214026614127795
2019-05-20,1.2173184061122917
2019-05-21,1.2190589797716456
2019-05-22,1.2184218923534147
2019-05-23,1.2169849571785227
2019-05-24,1.2167417494034776
2019-05-27,1.2213913005167396
2019-05-28,1.2200575408358558
2019-05-29,1.2154422134291758
2019-05-30,1.2160008338599078
2019-05-31,1.2148344656568224
2019-06-03,1.216936179470368
2019-06-04,1.2204712180728086
2019-06-05,1.2175168577816864
2019-06-06,1.2175688400825466
2019-06-07,1.2151047042224123
2019-06-10,1.2145051845621682
2019-06-11,1.2078788998916103
2019-06-12,1.2088364715728017
2019-06-13,1.2097259191531762
2019-06-14,1.206948516565362
2019-06-17,1.19863033768447
2019-06-18,1.196671693730192
2019-06-19,1.202244736322068
2019-06-20,1.2069896009936354
2019-06-21,1.207428836378866
2019-06-24,1.2121766907907068
2019-06-25,1.215847324383794
2019-06-26,1.2140667695307463
2019-06-27,1.215516987847978
2019-06-28,1.2163556266290418
2019-07-01,1.2204501126345046
2019-07-02,1.2193863515498173
2019-07-03,1.221329700212551
2019-07-04,1.2217269489793923
2019-07-05,1.2230826996597493
2019-07-08,1.2254856029189038
2019-07-09,1.226337192180389
2019-07-10,1.2267579905110777
2019-07-11,1.2247676290173188
2019-07-12,1.2234604122474313
2019-07-15,1.2257624990695581
2019-07-16,1.226440258626693
2019-07-17,1.2301140200820793
2019-07-18,1.2408641651629404
2019-07-19,1.2419543483573425
2019-07-22,1.2459049986346793
2019-07-23,1.2497320147580293
2019-07-24,1.2513586209467393
2019-07-25,1.2521122330224708
2019-07-26,1.2576142660568441
2019-07-29,1.2567318332175939
2019-07-30,1.259363177973591
2019-07-31,1.2585687809285804
2019-08-01,1.2607561741741191
2019-08-02,1.2675524596517047
2019-08-05,1.261465239280553
2019-08-06,1.2531170736671748
2019-08-07,1.2541823843117896
2019-08-08,1.2536605762686526
2019-08-09,1.2559732687224965
2019-08-12,1.2542976221631348
2019-08-13,1.2658350319566687
2019-08-14,1.2620789684063107
2019-08-15,1.2565862749188659
2019-08-16,1.2548604556841239
2019-08-19,1.2571603592338907
2019-08-20,1.2605127670734309
2019-08-21,1.2637684054037586
2019-08-22,1.259015915815361
2019-08-23,1.266367227811395
2019-08-26,1.2644578196727165
2019-08-27,1.2669926660725406
2019-08-28,1.2685636940453953
2019-08-29,1.269887848984657
2019-08-30,1.2689132577236566
2019-09-02,1.2813241163200284
2019-09-03,1.2795365786009163
2019-09-04,1.2733880227659797
2019-09-05,1.2727873578991467
2019-09-06,1.2734267911734274
2019-09-09,1.2684382444657223
2019-09-10,1.2676509963159828
2019-09-11,1.2707825340606937
2019-09-12,1.2719880579716816
2019-09-13,1.2714361915522319
2019-09-16,1.2685353707382563
2019-09-17,1.2596539361633343
2019-09-18,1.262934215971242
2019-09-19,1.2564223229110565
2019-09-20,1.2623724390951376
2019-09-23,1.2635589659143804
2019-09-24,1.2626923332704953
2019-09-25,1.2625977400925177
2019-09-26,1.2627041828032421
2019-09-27,1.2603222023473035
2019-09-30,1.2662655485179233
2019-10-01,1.2654211447350043
2019-10-02,1.26137657742628
2019-10-03,1.2599260736955151
2019-10-04,1.2545071968863428
2019-10-07,1.2542060039434402
2019-10-08,1.2571891440006118
2019-10-09,1.2576198268352894
2019-10-10,1.255735677083981
2019-10-11,1.251612673794603
2019-10-14,1.2509411367555352
2019-10-15,1.2554039683389797
2019-10-16,1.2533419405963824
2019-10-17,1.256821450143795
2019-10-18,1.2600915002514614
2019-10-21,1.262169022774673
2019-10-22,1.2656470249278144
2019-10-23,1.2586470774301552
2019-10-24,1.2700997674671508
2019-10-25,1.2708334237098564
2019-10-28,1.274116029691732
2019-10-29,1.2705766878475973
2019-10-30,1.2666611577723903
2019-10-31,1.2661956575701214
2019-11-01,1.2753808207155912
2019-11-04,1.2731598719367507
2019-11-05,1.2799092717641334
2019-11-06,1.2778634367330481
2019-11-07,1.2762192955592033
2019-11-08,1.2807884740378321
2019-11-11,1.2829431471736592
2019-11-12,1.2812343767824812
2019-11-13,1.284538263273097
2019-11-14,1.2875213400313392
2019-11-15,1.2915682261649348
2019-11-18,1.2999874721811104
2019-11-19,1.3051220179841945
2019-11-20,1.3026449859916795
2019-11-21,1.302846479486068
2019-11-22,1.3163385081656696
2019-11-25,1.320664051837296
2019-11-26,1.32327318692196
2019-11-27,1.3388973871820218
2019-11-28,1.3447958483024922
2019-11-29,1.3471500008627662
2019-12-02,1.3511759290877443
2019-12-03,1.3542388892821835
2019-12-04,1.3531878018613275
2019-12-05,1.3584255121462583
2019-12-06,1.3579886729260373
2019-12-09,1.3623962069018523
2019-12-10,1.3560187774518269
2019-12-11,1.357471350216719
2019-12-12,1.3537303399685168
2019-12-13,1.353205499780564
2019-12-16,1.3616515668048457
2019-12-17,1.367643487940144
2019-12-18,1.3701347265124475
2019-12-19,1.3734264546974022
2019-12-20,1.3701505279730128
2019-12-23,1.364126914798414
2019-12-24,1.3622985887147812
2019-12-25,1.3650783476412724
2019-12-26,1.367383291395425
2019-12-27,1.362648044937554
2019-12-30,1.3640787786119573
2019-12-31,1.363351564973043
2020-01-01,1.3723159843326942
2020-01-02,1.3754653602579656
2020-01-03,1.378448062203998
2020-01-06,1.377377222620101
2020-01-07,1.3774142055571383
2020-01-08,1.3799098241222973
2020-01-09,1.3782040071276471
2020-01-10,1.3766368200106631
2020-01-13,1.3747439070308693
2020-01-14,1.3691976500774523
2020-01-15,1.37319835978814
2020-01-16,1.367615315381576
2020-01-17,1.375035094971231
2020-01-20,1.3752441863427438
2020-01-21,1.3718019862912052
2020-01-22,1.3757662257867116
2020-01-23,1.376102483842659
2020-01-24,1.3746395043713588
2020-01-27,1.3797444226924664
2020-01-28,1.3773100448673892
2020-01-29,1.383388173278292
2020-01-30,1.3862048168220733
2020-01-31,1.403485617192515
2020-02-03,1.3983927903402058
2020-02-04,1.410460886007587
2020-02-05,1.410258229279404
2020-02-06,1.4234854763599107
2020-02-07,1.421509929654169
2020-02-10,1.42311000454138
2020-02-11,1.4191823117780278
2020-02-12,1.4184882369281135
2020-02-13,1.4181766572197518
2020-02-14,1.4163255743190764
2020-02-17,1.4312336895974926
2020-02-18,1.4293947968946277
2020-02-19,1.4351066964282355
2020-02-20,1.4425514165850135
2020-02-21,1.4355856232702864
2020-02-24,1.4340312502136165
2020-02-25,1.4313161445489122
2020-02-26,1.4302840179004295
2020-02-27,1.4329473563621573
2020-02-28,1.437628098918198
2020-03-02,1.4324054969136844
2020-03-03,1.4394384817321626
2020-03-04,1.4377196941818597
2020-03-05,1.4480339043024462
2020-03-06,1.4491487090762958
2020-03-09,1.4443342116320856
2020-03-10,1.4366046854207666
2020-03-11,1.4388272539700706
2020-03-12,1.4389438522551696
2020-03-13,1.4378411274082439
2020-03-16,1.4294783285418906
2020-03-17,1.4357115180186903
2020-03-18,1.4281836900661118
2020-03-19,1.434064602524513
